Grouping,"Lead Request Users","Lead Users",Leads,Leads/LU,"Unreconciled Publisher Lead Revenue","Clickout Impressions",Clickouts,"Clickthrough Rate","Unreconciled Publisher Clickout Revenue","Unreconciled Publisher Total Revenue","Source Code","Tracking Code","Adult Lead Request Users","Adult Lead Users","Adult Leads","Adult Leads / LU","Adult Unreconciled Publisher Lead Revenue","Adult Clickouts","Adult Clickout Revenue","High School Lead Request Users","High School Lead Users","High School Leads","High School Leads / LU","High School Unreconciled Publisher Lead Revenue","High School Clickouts","High School Clickout Revenue"
"2017-12-31 Sun",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-b1_cp-277140607_ag-1211661843245828_dv-c_kw-75728889223622_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-31 Sun",1,0,0,0,0,0,0,0,0,0,sa-B0D889DD-_pb-b2_cp-277399748_ag-1212761388352965_dv-m_kw-75797633517005_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-31 Sun",0,0,0,0,0,4,1,0.25,1.71,1.71,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-c_kw-75866353266566_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-31 Sun",1,0,0,0,0,6,1,0.16670000000000001,2.33,2.33,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-c_kw-75866353266659_var-b_,,1,0,0,,0,1,2.33,0,0,0,,0,0,0
"2017-12-31 Sun",0,0,0,0,0,3,2,0.6667000000000001,10.48,10.48,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-c_kw-75866353266907_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-31 Sun",1,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-m_kw-75866353266566_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-31 Sun",1,0,0,0,0,8,2,0.25,4.45,4.45,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-m_kw-75866353266659_var-b_,,0,0,0,,0,0,0,1,0,0,,0,0,0
"2017-12-31 Sun",0,0,0,0,0,3,0,0,0,0,sa-B0D889DD-_pb-b2_cp-277399748_ag-1216059923223192_dv-c_kw-76003792332019_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-31 Sun",1,0,0,0,0,3,0,0,0,0,sa-B0D889DD-_pb-b2_cp-277399748_ag-1216059923223192_dv-m_kw-76003792332020_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-31 Sun",1,0,0,0,0,0,0,0,0,0,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099026681_dv-m_kw-kwd-111789457268_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
