Date,Label,Account ID,Campaign ID,Adgroup ID,Keyword ID,Publisher,Account Name,*Campaign Name,Ad Group Name,Keyword,Focus Word *,Industry*,Device Type*,Impressions,Cost Per Click,Cost,Click Count,Total Unreconciled Publisher Lead Revenue ,Total Publisher Clickout Revenue ,Leads,Clickouts,Lead Users ,Lead request Users 
10/7/2018,,88488601997178,82614200981679,40137361895230,28431480659541,Google,Edu - Google,Edu - Real.Estate (Mobile),Real.Estate - License,acquiring +real.estate license,Real.Estate,Edu,#NAME?,"43,593.00",$0.22 ,"$1,015.53 ",62,"$1,811.89 ",$452.97 ,107,113,213,266
10/7/2018,,5954000214628,22930557197318,87055980846977,60292360628239,Google,Edu - Google,Edu - Ultrasound (Mobile),Ultrasound - Tech School,+ULTRASOUND Technician,Ultrasound,Edu,#NAME?,"36,356.00",$0.27 ,$823.17 ,0,$608.68 ,$152.17 ,36,38,72,90
10/7/2018,,75532662936675,8209959685209,15642007678478,63876180913683,Google,Edu - Google,Edu - Ultrasound (Mobile),Sonography - Programs,+SONOGRAPHY Programs,Ultrasound,Edu,#NAME?,"77,864.00",$0.67 ,$663.94 ,293,$566.64 ,$141.66 ,33,35,67,83
10/7/2018,,25863644854745,73689169059863,77338188294517,21661117662549,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,training for +police,Police,Edu,#NAME?,"22,359.00",$0.01 ,$643.91 ,396,"$1,556.84 ",$389.21 ,92,97,183,229
10/7/2018,,18823795551603,68210132612221,35512387923466,71102394206461,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+police academy,Police,Edu,#NAME?,"49,558.00",$0.70 ,$423.71 ,90,"$1,742.44 ",$435.61 ,102,109,205,256
10/7/2018,,53560911643740,48007446174369,34041334623739,88332183267040,Google,Edu - Google,Edu - EMT (Mobile),EMT - Classes,classes for emt,EMT,Edu,#NAME?,"64,229.00",$0.37 ,$347.42 ,119,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,26454068709775,84391771059783,65996515168488,14069535522341,Google,Edu - Google,Edu - Ultrasound (Mobile),Ultrasound - Tech School,[ULTRASOUND Technician],Ultrasound,Edu,#NAME?,"33,574.00",$0.45 ,$304.81 ,17,$245.03 ,$61.26 ,14,15,29,36
10/7/2018,,81340717056347,68709124665655,87087440453599,66597207554670,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+police +officer prerequisites,Police,Edu,#NAME?,"73,350.00",$0.54 ,$289.84 ,169,$458.26 ,$114.57 ,27,29,54,67
10/7/2018,,89490623036530,93708391681186,597340913231,10078718838333,Google,Edu - Google,Edu - Phlebotomy (Mobile),Phlebotomy - Certification,+phlebotomy Technician courses,Phlebotomy,Edu,#NAME?,"51,752.00",$0.38 ,$238.77 ,243,$531.95 ,$132.99 ,31,33,63,78
10/7/2018,,22237995959079,48755354104885,1908043300253,93541706558279,Google,Edu - Google,Edu - Phlebotomy (Mobile),Phlebotomy - Training,+phlebotomy,Phlebotomy,Edu,#NAME?,"77,062.00",$0.15 ,$225.91 ,61,$353.45 ,$88.36 ,21,22,42,52
10/7/2018,,74794396100457,48630125851514,37786546042834,30003126835889,Google,Edu - Google,Edu - Dispatcher (Mobile),Dispatcher - Training,+dispatcher qualifications,Dispatcher,Edu,#NAME?,"60,213.00",$0.78 ,$198.62 ,115,$653.55 ,$163.39 ,38,41,77,96
10/7/2018,,90554481537343,6549760562011,17034983436324,63318955978306,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+police institute,Police,Edu,#NAME?,"29,130.00",$0.23 ,$193.94 ,137,$745.65 ,$186.41 ,44,47,88,110
10/7/2018,,66462986099019,57024744967535,29931762258393,24613126563442,Google,Edu - Google,Edu - EMT (Mobile),EMT - Classes,getting emt certification,EMT,Edu,#NAME?,"51,843.00",$0.15 ,$187.01 ,195,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,20411162888743,88232060351093,71232877200913,29513367529606,Google,Edu - Google,Edu - X-Ray (Mobile),Radiology - Schools,radiation technologist schools,X-Ray,Edu,#NAME?,"96,646.00",$0.06 ,$186.64 ,133,$123.07 ,$30.77 ,7,8,14,18
10/7/2018,,12026959400789,27531894783893,92666134400999,76012467737968,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,the academy +police,Police,Edu,#NAME?,"82,971.00",$0.11 ,$180.58 ,143,$422.08 ,$105.52 ,25,26,50,62
10/7/2018,,70907513970210,54018575833988,77027895004888,6573540747805,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+police academy careers,Police,Edu,#NAME?,"58,235.00",$0.28 ,$176.86 ,365,$297.10 ,$74.28 ,17,19,35,44
