Date,AccountID,Custom,Earnings
8/1/2018 12:00:00 AM,637304,_pb-b1_cp-335315488_ag-1222657125458750_dv-c_kw-kwd-76416208854192:loc-4126__p1var-e_p2var-b_,0
8/1/2018 12:00:00 AM,637304,_pb-b1_cp-335315490_ag-1212761520326981_dv-c_kw-kwd-75797733772188:loc-4109__p1var-e_p2var-b_,0
8/1/2018 12:00:00 AM,637304,_pb-b1_cp-335315492_ag-1211662009016164_dv-c_kw-kwd-75729014439120:loc-4100__p1var-e_p2var-b_,4.6
8/1/2018 12:00:00 AM,637304,_pb-b1_cp-335315492_ag-1211662009016164_dv-c_kw-kwd-75729014439121:loc-4089__p1var-e_p2var-b_,0
8/1/2018 12:00:00 AM,637304,_pb-b1_cp-335315494_ag-1218259078972362_dv-m_kw-kwd-76141330444268:loc-4084__p1var-e_p2var-b_,15.552
8/1/2018 12:00:00 AM,637304,_pb-b1_cp-335315496_ag-1208363473991281_dv-m_kw-kwd-75522855765900:loc-190__p1var-e_p2var-b_,0
8/1/2018 12:00:00 AM,637304,_pb-b1_cp-335315496_ag-1208363473991281_dv-m_kw-kwd-75522855765900:loc-4110__p1var-e_p2var-b_,17.328
8/1/2018 12:00:00 AM,637304,_pb-b1_cp-335315497_ag-1223756636772655_dv-m_kw-kwd-76484928656658:loc-4090__p1var-e_p2var-b_,0
8/1/2018 12:00:00 AM,637304,_pb-b1_cp-335315499_ag-1208363473991345_dv-m_kw-kwd-75522855766437:loc-4084__p1var-e_p2var-b_,1.6
8/1/2018 12:00:00 AM,637304,_pb-b1_cp-335315500_ag-1210562497251859_dv-m_kw-kwd-75660294695278:loc-4089__p1var-e_p2var-b_,0
8/1/2018 12:00:00 AM,637304,_pb-b1_cp-335315501_ag-1222657125458782_dv-m_kw-kwd-76416208854391:loc-4095__p1var-i_p2var-b_,0
8/1/2018 12:00:00 AM,637304,_pb-b1_cp-335315501_ag-1223756636772671_dv-m_kw-kwd-76484928656700:loc-4104__p1var-i_p2var-b_,0
8/1/2018 12:00:00 AM,637304,_pb-b1_cp-335315501_ag-1223756636772671_dv-m_kw-kwd-76484928656739:loc-190__p1var-e_p2var-b_,3.6
8/1/2018 12:00:00 AM,637304,_pb-b1_cp-335315501_ag-1223756636772671_dv-m_kw-kwd-76484928656756:loc-4095__p1var-i_p2var-b_,0
8/1/2018 12:00:00 AM,637304,_pb-g1_cp-1401083889_ag-59291806950_dv-c_ap-1o3_kw-kwd-449750371857__p1var-e_p2var-b_,0
8/1/2018 12:00:00 AM,637304,_pb-g1_cp-1401083889_ag-59291806950_dv-c_ap-1t3_kw-kwd-389914052302__p1var-e_p2var-b_,0
8/1/2018 12:00:00 AM,637304,_pb-g1_cp-1401083889_ag-59291806950_dv-c_ap-1t4_kw-kwd-389914052302__p1var-e_p2var-b_,0
8/1/2018 12:00:00 AM,637304,_pb-g1_cp-1406058943_ag-54995335906_dv-m_ap-1t2_kw-kwd-447535020682__p1var-e_p2var-b_,3.832
8/1/2018 12:00:00 AM,637314,_pb-b1_cp-335315499_ag-1222657125458798_dv-m_kw-kwd-76416208854443:loc-190__p1var-e_p2var-b_,2.448
8/1/2018 12:00:00 AM,637314,_pb-b1_cp-335315499_ag-1222657125458798_dv-m_kw-kwd-76416208854443:loc-4095__p1var-e_p2var-b_,4.08
8/1/2018 12:00:00 AM,637314,_pb-b1_cp-335315499_ag-1222657125458798_dv-m_kw-kwd-76416208854455:loc-4098__p1var-e_p2var-b_,3.2
8/1/2018 12:00:00 AM,640235,_pb-b1_cp-335285392_ag-1217159556394777_dv-m__kw-kwd-76072607224670:loc-4123__p1var-h_p2var-b_,2.1204
8/1/2018 12:00:00 AM,640235,_pb-b1_cp-335285392_ag-1217159556394777_dv-m__kw-kwd-76072607224685:loc-4090__p1var-h_p2var-b_,0
8/1/2018 12:00:00 AM,640235,_pb-b1_cp-335285396_ag-1208363463385825_dv-m__kw-kwd-75522850732742:loc-4089__p1var-i_p2var-b_,10.6485
8/1/2018 12:00:00 AM,640235,_pb-b1_cp-335285396_ag-1209462974855730_dv-m__kw-kwd-75591570843785:loc-4084__p1var-i_p2var-b_,2.4459
8/1/2018 12:00:00 AM,640235,_pb-b1_cp-335285399_ag-1214960532947143_dv-m__kw-kwd-75935168058244:loc-4126__p1var-h_p2var-b_,1.1625
8/1/2018 12:00:00 AM,640235,_pb-b1_cp-335285399_ag-1214960532947143_dv-m__kw-kwd-75935168058307:loc-4086__p1var-h_p2var-b_,5.4498
8/1/2018 12:00:00 AM,640235,_pb-g1_cp-1368103409_ag-53463727086_dv-m_ap-1o2_kw-kwd-307164751083__p1var-h_p2var-b_,3.2736
8/1/2018 12:00:00 AM,640235,_pb-g1_cp-1368103409_ag-53463727086_dv-m_ap-1t3_kw-kwd-307164755923__p1var-h_p2var-b_,3.1713
8/1/2018 12:00:00 AM,640235,_pb-g1_cp-1368103886_ag-53463729046_dv-m_ap-1t4_kw-kwd-306022934390__p1var-h_p2var-b_,2.2785
8/1/2018 12:00:00 AM,640235,_pb-g1_cp-1368304006_ag-58286361287_dv-m_ap-1t1_kw-kwd-442694797104__p1var-i_p2var-b_,0
8/1/2018 12:00:00 AM,640235,_pb-g1_cp-1368304006_ag-58286361287_dv-m_ap-1t1_kw-kwd-442694813904__p1var-i_p2var-b_,4.7895
8/1/2018 12:00:00 AM,640235,_pb-g1_cp-1368304060_ag-52124406862_dv-m_ap-1o1_kw-kwd-441921063282__p1var-h_p2var-b_,1.3764
8/1/2018 12:00:00 AM,640235,_pb-g1_cp-1368304483_ag-57183840600_dv-m_ap-1t2_kw-kwd-436815063836__p1var-i_p2var-b_,1.1625
8/1/2018 12:00:00 AM,640235,_pb-g1_cp-1368304483_ag-57183840600_dv-m_ap-1t3_kw-kwd-364674407510__p1var-h_p2var-b_,0
8/1/2018 12:00:00 AM,640235,_pb-g1_cp-1368304483_ag-57183840600_dv-m_ap-2t4_kw-kwd-435146868199__p1var-h_p2var-b_,0
8/1/2018 12:00:00 AM,640235,_pb-g1_cp-1368304483_ag-57183840600_dv-m_ap-3o3_kw-kwd-435146876319__p1var-i_p2var-b_,1.4973
8/1/2018 12:00:00 AM,640235,_pb-g1_cp-1368567336_ag-52124404742_dv-m_ap-1t2_kw-kwd-442694794264__p1var-i_p2var-b_,4.3152
8/1/2018 12:00:00 AM,640235,_pb-g1_cp-1368567336_ag-52124404742_dv-m_ap-1t2_kw-kwd-442694798304__p1var-i_p2var-b_,0
